Unnamed,fork_slug,upstream_slug,created_at,updated_at,pushed_at,forks_count,forking_level,latest F commit date,OnlyF,OnlyU,F2U,U2F,active
2739,30-reactions/1171-astropy,astropy/astropy,2022-08-22T04:08:27Z,2022-08-20T20:50:13Z,2022-08-22T01:49:07Z,0.0,1.0,2022-08-21 16:54:13,0,21,0,0,False
2740,saurabh-ss/astropy,astropy/astropy,2022-08-20T22:24:52Z,2022-08-20T20:50:13Z,2022-08-20T21:23:34Z,0.0,1.0,2022-08-18 17:30:23,0,26,0,0,False
2741,hwiks/astropy,astropy/astropy,2022-08-18T13:56:50Z,2022-08-17T23:38:47Z,2022-08-18T07:47:22Z,0.0,1.0,2022-08-16 00:01:32,0,34,0,0,False
2742,MatiasRepetto/astropy,astropy/astropy,2022-08-12T15:37:21Z,2022-08-17T20:50:43Z,2022-08-22T12:57:22Z,0.0,1.0,2022-08-21 16:54:13,0,30,0,0,False
2743,dougbrn/astropy,astropy/astropy,2022-08-10T19:01:26Z,2022-08-17T19:02:53Z,2022-08-22T18:39:09Z,0.0,1.0,2022-08-26 15:38:27,4,36,0,0,True
2744,ianthomas23/astropy,astropy/astropy,2022-08-10T10:01:47Z,2022-08-09T18:50:33Z,2022-08-10T03:34:59Z,0.0,1.0,2022-08-09 16:05:10,0,39,0,0,False
2745,swagner-astro/astropy,astropy/astropy,2022-08-05T21:22:13Z,2022-08-05T19:06:33Z,2022-08-05T19:06:57Z,0.0,1.0,2022-08-04 10:13:11,0,66,0,0,False
2747,amcvoy/astropy,astropy/astropy,2022-07-27T15:59:57Z,2022-08-02T08:00:22Z,2022-08-02T08:00:09Z,0.0,1.0,2022-07-29 22:44:48,0,101,0,0,False
2748,marcosboggia/astropy,astropy/astropy,2022-07-27T15:43:53Z,2022-07-27T06:03:58Z,2022-07-27T15:05:10Z,0.0,1.0,2022-07-27 14:44:33,0,113,0,0,False
2749,NotQuiteAwake/astropy,astropy/astropy,2022-07-26T19:34:32Z,2022-07-26T16:09:18Z,2022-07-27T20:49:05Z,0.0,1.0,2022-07-27 20:48:30,4,118,0,0,True
2750,ZRupp/astropy,astropy/astropy,2022-07-26T19:05:18Z,2022-07-26T16:09:18Z,2022-07-26T13:28:52Z,0.0,1.0,2022-07-25 20:27:15,0,118,0,0,False
2751,mlinvill/astropy,astropy/astropy,2022-07-25T19:20:21Z,2022-07-25T18:12:14Z,2022-07-25T19:00:22Z,0.0,1.0,2022-07-24 16:18:20,0,122,0,0,False
2752,thiagofst/astropy,astropy/astropy,2022-07-25T15:49:17Z,2022-07-25T07:31:52Z,2022-07-25T14:14:28Z,0.0,1.0,2022-07-24 16:18:20,0,122,0,0,False
2753,jianyangli/astropy,astropy/astropy,2022-07-22T19:44:51Z,2022-07-22T13:34:58Z,2022-07-22T16:33:19Z,0.0,1.0,2022-07-21 17:52:07,0,131,0,0,False
2754,deepanshs/astropy,astropy/astropy,2022-07-21T19:42:34Z,2022-07-21T23:07:56Z,2022-07-21T17:52:08Z,0.0,1.0,2022-07-21 17:52:07,0,134,0,0,False
2755,CristianStanciu/astropy,astropy/astropy,2022-07-20T10:27:13Z,2022-07-20T03:42:00Z,2022-07-19T23:58:01Z,0.0,1.0,2022-07-19 20:18:56,0,144,0,0,False
2756,burakozturk16/astropy,astropy/astropy,2022-07-18T22:59:14Z,2022-07-18T22:59:11Z,2022-07-18T19:15:48Z,0.0,1.0,2022-07-18 19:15:48,0,150,0,0,False
2757,classicvalues/astropy,astropy/astropy,2022-07-17T21:10:58Z,2022-07-17T21:11:03Z,2022-07-17T21:11:11Z,0.0,1.0,2022-07-17 21:11:09,1,153,0,0,True
2758,johntkappel/astropy,astropy/astropy,2022-07-14T18:11:19Z,2022-07-14T15:09:44Z,2022-07-14T16:12:58Z,0.0,1.0,2022-07-14 14:25:13,0,157,0,0,False
2759,astromariarosa/astropy,astropy/astropy,2022-07-14T13:08:12Z,2022-07-14T10:47:50Z,2022-07-14T12:35:12Z,0.0,1.0,2022-07-11 20:49:46,0,160,0,0,False
2760,super-rain/astropy,astropy/astropy,2022-07-14T09:19:16Z,2022-07-14T09:00:35Z,2022-07-13T03:58:03Z,0.0,1.0,2022-07-11 20:49:46,0,164,0,0,False
