,fork_slug,upstream_slug,created_at,updated_at,pushed_at,forks_count,forking_level
3322,tcjansen/astropy,astropy/astropy,2019-04-09T03:33:17Z,2019-09-01T11:47:17Z,2019-05-21T18:08:37Z,0.0,1.0
3323,zkurtz/astropy,astropy/astropy,2019-04-09T01:00:28Z,2019-10-22T01:39:49Z,2019-10-22T01:39:43Z,0.0,1.0
3324,fenilsuchak/astropy,astropy/astropy,2019-04-06T13:27:31Z,2019-04-06T13:27:38Z,2019-04-06T09:11:33Z,0.0,1.0
3325,Libardo1/astropy,astropy/astropy,2019-04-05T23:38:54Z,2019-04-05T23:39:01Z,2019-04-05T20:10:54Z,0.0,1.0
3326,algo-circle/astropy,astropy/astropy,2019-04-04T04:51:02Z,2019-10-26T10:55:02Z,2019-10-26T10:54:56Z,0.0,1.0
3327,cascragg/astropy,astropy/astropy,2019-04-03T21:12:32Z,2019-04-03T21:12:54Z,2019-04-03T15:19:49Z,0.0,1.0
3328,dyq0811/astropy,astropy/astropy,2019-04-03T12:04:24Z,2019-04-15T23:04:23Z,2019-04-15T23:04:19Z,0.0,1.0
3329,jotaylor/astropy,astropy/astropy,2019-04-02T18:54:09Z,2019-04-02T18:54:31Z,2019-04-02T17:45:26Z,0.0,1.0
3330,numfocus/astropy,astropy/astropy,2019-04-01T19:48:51Z,2019-04-01T19:49:13Z,2019-04-01T19:56:51Z,0.0,1.0
3331,rayssags/astropy,astropy/astropy,2019-03-29T20:03:27Z,2019-03-29T20:03:34Z,2019-03-29T19:51:14Z,0.0,1.0
3332,fabiocw16/astropy,astropy/astropy,2019-03-29T20:03:25Z,2019-03-29T20:03:32Z,2019-03-29T19:51:14Z,0.0,1.0
3333,eigenbrot/astropy,astropy/astropy,2019-03-29T16:03:52Z,2019-03-29T16:03:59Z,2020-03-19T17:14:30Z,0.0,1.0
3334,rvlobato/astropy,astropy/astropy,2019-03-28T19:40:43Z,2019-03-28T19:40:50Z,2019-03-28T18:12:47Z,0.0,1.0
3335,taranu/astropy,astropy/astropy,2019-03-26T20:15:28Z,2019-06-18T22:28:19Z,2019-06-18T22:27:06Z,0.0,1.0
3336,jsluyi/astropy,astropy/astropy,2019-03-24T04:13:34Z,2019-03-24T04:13:41Z,2019-03-24T01:53:36Z,0.0,1.0
